Block Address,Job Number,Description of repairs,Date Job Raised, Price to Charge (£) ,No of Flats, Charge per flat (£) ,
1-19 ODD KENDALL CRESCENT,08347749,FIX LOCK TO BIN STORE GATE - SOMEONE HAS REPPED THE CODE LOCK - REF IH,04/05/2016, 30.88 ,5, 6.18 ,
1-19 ODD KENDALL CRESCENT,08468824,BLOCK 11-19 - OVERHAUL/REPLACE BIN SHED LOCK - BROKEN - ONGOING PROBLEM AND ISSUES WITH FLY TIPPING HERE - LAST TIME REPAIRED 12/05/16 ,12/07/2016, 66.57 ,5, 13.31 ,
1-19 ODD KENDALL CRESCENT,08469917,ELECTRICAL INSPECTION AND TEST - 5 YEARLY,13/07/2016, 130.00 ,5, 26.00 ,
1-19 ODD KENDALL CRESCENT,08515223,HA - EXTERNAL PAINTING AND REPAINT JOINERY CONTRACT CS389110.  VISIT ALL FLATS CHERWELL WARD,08/08/2016, 501.00 ,5, 100.20 ,
1-19 ODD KENDALL CRESCENT,08528649,ELECTRICAL REMEDIAL WORK FOLLOWING PIR REPORT,16/08/2016, 63.09 ,5, 12.62 ,
1-19 ODD KENDALL CRESCENT,08675639,OVERHAUL BIN STORE LOCK TO BLOCK 1-19 KENDALL CRESCENT NEXT TO DOCTORS SURGERY REPORTED BROKEN ,24/10/2016, 19.86 ,5, 3.97 ,
19-29 ODD KERSINGTON CRESCENT,08468965,"REAR OF 19-21 - ONE-OFF THOROUGH DEEP CLEAN, TIDY UP GARDENS, FACE UP HEDGES, CUT BACK ALL BRANCHES, GRUB OUT ALL VEGETATION & SUCKERS, REMOVE RUBBISH.  FAO: SC",12/07/2016, 738.00 ,6, 123.00 ,
19-29 ODD KERSINGTON CRESCENT,08681960,"PROVIDE AND  FIT ALTRO RELIANCE 25 SHEET FLOORING TO COMMUNAL AREAS AS PER MANUFACTURES RECOMMENDATIONS, SPECIFCATION AND QUOTE",27/10/2016," 1,500.00 ",6, 250.00 ,
1-60 WINDRUSH TOWER,08294111, ESTATE OFFICER - ATTEND TO STREET LAMP H1 OUTSIDE TH FRONT OF THE BLOCK WHICH NEEDS LAMP REPLACING AND STREET LAMP NEXT TO BIKE SHED WHERE COVER IS BLOWN AND NEEDS REPLACING. LADDERS REQUIRED.,08/04/2016, 549.61 ,60, 9.16 ,
1-60 WINDRUSH TOWER,08298726,"PLEASE CHECK LIGHT AT TOP OF THE STAIRS BY THE DOOR ACCESSING THE ROOF. LIGHT NOT WORKING, E/O HAS CHANGED BULB BUT TO NO AVAIL ",11/04/2016, 83.02 ,60, 1.38 ,
1-60 WINDRUSH TOWER,08301464,1 MAN 2 HRS  ATTEND TO SMALL WATER HEATER TO GROUND FLOOR CARETAKERS CUPBOARD REF  CARETAKER THIS WAS ATTENDED TO ON 4TH APRIL BUT NOT WORKING AGAIN NOW,12/04/2016, 283.09 ,60, 4.72 ,
1-60 WINDRUSH TOWER,08312761,HA-CONTRACT-BS389110-FOR THE INSPECTION AND MAINTENANCE OF WATER BOOSTING EQUIPMENT (FOR 3 MONTHS ONLY),19/04/2016, 113.84 ,60, 1.90 ,
1-60 WINDRUSH TOWER,08357768,"SOME FORM OF BLOCKAGE IS CAUSING ISSUES FOR THE DRAINS AT NUMBER 5, ALL DRAINS SERVICE THE BLOCK. CAN SEE A BLOCKED PIPE FROM NUMBER 5 WHO HAS REPORTED, PLS BUZZ TO HIS FLAT IF ANYMORE DETAILS ARE NEEDED.",10/05/2016, 28.68 ,60, 0.48 ,
1-60 WINDRUSH TOWER,08371915,"GF DRAIN IS BLOCKED AGAIN AND IS FLOODING THE BALCONY IT IS THE DRAIN ON THE GROUND FLOOR THAT IS BLOCKED, NOT THEDRAIN PIPE.",18/05/2016, 20.30 ,60, 0.34 ,
1-60 WINDRUSH TOWER,08378617,PLEASE ATTEND BLOCKED DRAINPIPE. COMING INTO BALCONY OF FLAT 5. FROM FLAT BELOW.,23/05/2016, 90.32 ,60, 1.51 ,
1-60 WINDRUSH TOWER,08379007,DRAIN BLOCKED ON GROUND FLOOR ALONGSIDE THE MAIN ENTRANCE. CAN WE CLEAR PLEASE.,23/05/2016, 90.82 ,60, 1.51 ,
1-60 WINDRUSH TOWER,08384498, LEAK UNDER THE SINK ON THE GF WASH. REPORTED BY EO- ,26/05/2016, 52.42 ,60, 0.87 ,
1-60 WINDRUSH TOWER,08402105,PLEASE ATTEND TO WATER HEATER. ONGOING PROBLEMS WITH THIS. PART FITTED BUT STILL NOT FIXED.  ,03/06/2016, 48.54 ,60, 0.81 ,
1-60 WINDRUSH TOWER,08410401,ELECTRICAL INSPECTION FOR THE TOWER PUMP ROOM,08/06/2016, 130.00 ,60, 2.17 ,
1-60 WINDRUSH TOWER,08416429,PLEASE ATTEND TO WATER HEATER. THERE HAVE BEEN ONGOING PROBLEMS REGARDING THIS ISSUE. EO ALAN THOMAS SAID HE WAS TO RING BACK IF PREVIOUS JOB DIDNT FIX THE PROBLEM.,13/06/2016, 808.36 ,60, 13.47 ,
1-60 WINDRUSH TOWER,08455888,3 LIGHTS ARE NOT WORKING IN THE BLOCK ON THE GROUND FLOOR OF MAIN ENTERANCE CARE TAKER HAS CHANGED THE BULBS BUT STILL NOT WORKING,04/07/2016, 33.70 ,60, 0.56 ,
1-60 WINDRUSH TOWER,08498865,FLATS 60/56 - REMOVE BOXING FOR DRAINGAIN TO ACCESS STACK PIPE - REF S BRANDISH,28/07/2016, 54.71 ,60, 0.91 ,
1-60 WINDRUSH TOWER,08508065,HA-CONTRACT-BS389110-FOR THE INSPECTION AND MAINTENANCE OF WATER BOOSTING EQUIPMENT,03/08/2016, 352.10 ,60, 5.87 ,
1-60 WINDRUSH TOWER,08588829,2 LIGHTS OUT 7TH FLOOR STAIRCASE - NOT THE BULBS,19/09/2016, 180.96 ,60, 3.02 ,
1-60 WINDRUSH TOWER,08622790,1 MAN 3 HRS - 4M 1.5 3 CORE - LEVEL 7 STAIRS - NO SUPPLY BETWEEN STAIRS LTS LEVEL 7 RECOMMEND REWIRE BETWEEN BULKHEAD FITTINGS - .,03/10/2016, 25.93 ,60, 0.43 ,
1-60 WINDRUSH TOWER,08643409,DRAINGAIN TO CARRYOUT CAMERA SURVEY OF SOIL PIPE FLAT 50-58,13/10/2016, 189.75 ,60, 3.16 ,
1-60 WINDRUSH TOWER,08756585,CARRY OUT FIRE RETARDANT WORKS TO ENTRANCE FRAMES TO ALL FLATS IN WINDRUSH TOWER,30/11/2016," 9,000.00 ",60, 150.00 ,
1-60 WINDRUSH TOWER,08779454,ASBESTOS SURVEY,09/12/2016, 195.42 ,60, 3.26 ,
1-60 WINDRUSH TOWER,08804332,SCHEDULED SURVEY WORKS COMPLETED,23/12/2016, 900.00 ,60, 15.00 ,
1-60 WINDRUSH TOWER,08855110,HA-CONTRACT-BS389110-FOR THE INSPECTION AND MAINTENANCE OF WATER BOOSTING EQUIPMENT,18/01/2017, 341.65 ,60, 5.69 ,
1-60 WINDRUSH TOWER,08873493,"FIT STEEL SECUIRTY DOOR, SET TO PUMP/PLANT ROOM - AS PER SPEC - ",26/01/2017," 4,904.00 ",60, 81.73 ,
1-60 WINDRUSH TOWER,08877983,CARRY OUT REWIRE TO PUMP ROOM,27/01/2017," 7,556.88 ",60, 125.95 ,
1-60 WINDRUSH TOWER,08878485,FIT BACK FLOW PROTECTION TO THE MAIN BRANCH OF THE SUPPRESSION SPRINKLER SYSTEMS  ACCESS IS IN THE BIN STORES ON THE GROUND FLOOR,27/01/2017, 48.62 ,60, 0.81 ,
1-60 WINDRUSH TOWER,08882051,NTCO C/O NH - LIGHTS NOT WORKING IN CORRIDOR - REF P.F.,28/01/2017, 68.75 ,60, 1.15 ,
1-60 WINDRUSH TOWER,08988937,"REPORTED BY NUMBER 3, WILMOTT DIXON HAVE ASKED TNT TO RING UP AS DRAIN PIPE LEADING DOWN THE SIDE OF WINDRUSH TOWER, AND NUMBER 3'D BALCONY IS BLOCKED AT THE DRAIN AT THE BOTTOM. ",20/03/2017, 27.80 ,60, 0.46 ,
2-12 EVEN LEIDEN ROAD,08565046,E/A TWO FIRE DOORS - INTERNAL TO CLOSE FREELY - ,06/09/2016, 107.59 ,6, 17.93 ,
2-12 EVEN LEIDEN ROAD,08573227,CARRY OUT EMERGENCY LIGHTING TO BLOCK AS PER QUOTE - ,09/09/2016," 1,500.00 ",6, 250.00 ,
2-12 EVEN LEIDEN ROAD,08582603,  MIDDLE FIRE DOOR WILL NOT OPEN FROM INSIDE - OPENS FROM OUTSIDE- NOT MED DOOR.  FLATS 2 -4 CANNOT EXIT BUILDING - FIR HAZARD,15/09/2016, 58.69 ,6, 9.78 ,
2-12 EVEN LEIDEN ROAD,08604136,FAO TIMBERYTE - TIMBER LINK FENCE GATE & FENCE TO FRONT OF PROPERTY. ,22/09/2016, 578.24 ,6, 96.37 ,
2-12 EVEN LEIDEN ROAD,08777140,PROVIDE FIRE SIGNAGE TO COMPLY WITH FIRE REGULATIONS ,08/12/2016, 138.36 ,6, 23.06 ,
2-12 EVEN LEIDEN ROAD,08777195,SUPPLY AND FIT INTRUMECENT STRIPS AND COLD SMOKE SEALS  TO INTERNAL COMMUNAL DOORS ON ALL FLOORS TO COMPLY WITH CURRENT FIRE REGULATIONS. ,08/12/2016, 512.93 ,6, 85.49 ,
2-12 EVEN LEIDEN ROAD,08887001, LEAK IS COMING FROM THE ROOF AND INTO THE KITCHEN,01/02/2017, 96.50 ,6, 16.08 ,
2-12 EVEN LEIDEN ROAD,08893556, LEAK IS NOW GETTING WORSE AND REALLY DRENCHING THE KITCHEN DURING RAIN. PLEASE ATTEND.,03/02/2017, 95.13 ,6, 15.86 ,
45-55 ODD LEIDEN ROAD,08344272,REMEDIAL WORK FOLLOWING ECIR,03/05/2016, 194.32 ,6, 32.39 ,
45-55 ODD LEIDEN ROAD,08546539,ELECTRICAL REMEDIAL WORK FOLLOWING PIR REPORT COMMUNAL AREA 45-67 LEIDEN RD,24/08/2016, 67.22 ,6, 11.20 ,
45-55 ODD LEIDEN ROAD,08576682,CARRY OUT EMERGENCY LIGHTING TO BLOCK AS PER QUOTE -,12/09/2016," 1,500.00 ",6, 250.00 ,
45-55 ODD LEIDEN ROAD,08779128,S/F INTRUMECENT STRIPS AND COLD SMOKE SEALS TO CONFORM TO FD30 AND CURRENT FIRE REGULATIONS TO ALL INTERNAL COMMUNAL DOORS ,09/12/2016, 397.91 ,6, 66.32 ,
45-55 ODD LEIDEN ROAD,08779144,S/F SITE SPECIFIC SIGNAGE TO CONFORM TO CURRENT FIRE REGULATIONS,09/12/2016, 249.96 ,6, 41.66 ,
50-60 EVEN LEIDEN ROAD,08423025,50-60 LEIDEN ROAD - REMOVAL OF GRAFFITI FROM DRYING AREA ON  02/05/16 (GRAFFITI REF 5428).,16/06/2016, 49.14 ,6, 8.19 ,
50-60 EVEN LEIDEN ROAD,08471873,PLEASE ATTEND TO ROOF TILE MISSING,14/07/2016, 49.40 ,6, 8.23 ,
50-60 EVEN LEIDEN ROAD,08564627,"REPORTED BY  EO,  WOODEN GATE OPPOSITE ENTRY DOOR COME OFF",06/09/2016, 17.22 ,6, 2.87 ,
50-60 EVEN LEIDEN ROAD,08565088,REPLACE GATE OUTSIDE BY SHED 38 ,06/09/2016, 32.22 ,6, 5.37 ,
50-60 EVEN LEIDEN ROAD,08576710,CARRY OUT EMERGENCY LIGHTING TO BLOCK AS PER QUOTE,12/09/2016," 1,500.00 ",6, 250.00 ,
50-60 EVEN LEIDEN ROAD,08617536,ELECTRICAL INSPECTION TO COMMUNAL AREA 50-60 EVEN,30/09/2016, 130.00 ,6, 21.67 ,
50-60 EVEN LEIDEN ROAD,08726601,REWIRING OF UNMETERED SUPPLIES AT 50-56 LEIDEN ROAD,17/11/2016," 1,500.00 ",6, 250.00 ,
50-60 EVEN LEIDEN ROAD,08779160,S/F SITE SPECIFIC SIGNAGE TO COMPLY TO CURRENT FIRE REGULATIONS ,09/12/2016, 177.02 ,6, 29.50 ,
50-60 EVEN LEIDEN ROAD,08779173,S/F INTRUMENCENT STRIPS AND COLD SMOKE SEALS TO CONFORM TO FD 30 AND CURRENT FIRE REGULATIONS TO ALL INTERNAL COMMUNAL DOORS FAO ,09/12/2016, 116.99 ,6, 19.50 ,
50-60 EVEN LEIDEN ROAD,08852036,TOP OF FIRST FLOOR STAIRWELL 2 X WALL TILES HAVE COME OFF - THEY ARE IN ELECTRIC CUPBOARD - REF EO,17/01/2017, 202.54 ,6, 33.76 ,
57-67 ODD LEIDEN ROAD,08311339,COMMUNAL ROTARY WASHING LINE NEEDS RESTRINGING ,18/04/2016, 24.27 ,6, 4.05 ,
57-67 ODD LEIDEN ROAD,08576736,CARRY OUT EMERGENCY LIGHTING TO BLOCK AS PER QUOTE ,12/09/2016," 1,500.00 ",6, 250.00 ,
57-67 ODD LEIDEN ROAD,08779199,S/F SITE SPECIFIC SIGNAGE TO CURRENT FIRE REGULATIONS ,09/12/2016, 308.75 ,6, 51.46 ,
57-67 ODD LEIDEN ROAD,08779201,S/F INTRUMECENT STRIPS AND COLD SMOKE SEALS TO ALL INTERNAL COMMUNAL DOORS TO COMPLY WITH FD30 AND CURRENT FIRE REGULATIONS ,09/12/2016," 1,473.64 ",6, 245.61 ,
14-24 EVEN LEIDEN ROAD,08344243,PB00017 - REMEDIAL WORK FOLLOWING ECIR,03/05/2016, 83.48 ,6, 13.91 ,
14-24 EVEN LEIDEN ROAD,08385974, REPLACE FAULTY STOP TAP ,26/05/2016, 31.56 ,6, 5.26 ,
14-24 EVEN LEIDEN ROAD,08470201,PLS PUT LOCK ON BIN SHED DOOR AS RUBBISH IS BEING LEFT EVERYWHERE.  THE OTHER BLOCKS HAVE LOCKS ON THEIR BIN STORES.  ,13/07/2016, 99.49 ,6, 16.58 ,
14-24 EVEN LEIDEN ROAD,08560591,REPLACE GLASS ABOVE ENTRANCE CANOPY - ,02/09/2016, 8.10 ,6, 1.35 ,
14-24 EVEN LEIDEN ROAD,08560814,FAO TIMBERYTE - REPLACE MISSING TIMBERLINK GATE TO FRONT OF BLOCK. ,02/09/2016, 496.01 ,6, 82.67 ,
14-24 EVEN LEIDEN ROAD,08564995,E/A 1 FIRE DOOR AND REPLACE 2 DOOR CLOSERS  -,06/09/2016, 129.40 ,6, 21.57 ,
14-24 EVEN LEIDEN ROAD,08573201,CARRY OUT EMERGENCY LIGHTING TO BLOCK AS PER QUOTE -,09/09/2016," 1,500.00 ",6, 250.00 ,
14-24 EVEN LEIDEN ROAD,08777520,S/F INTRUMECENT STRIPS AND COLD SMOKE SEALS TO INTERNAL COMMUNAL DOORS ON ALL FLOORS TO COMPLY WITH FD 30 CURRENT FIRE REGULATIONS ,08/12/2016, 387.35 ,6, 64.56 ,
14-24 EVEN LEIDEN ROAD,08777546,SUPPLY AND FIT FIRE SIGNAGE TO CURRENT FIRE REGULATIONS ,08/12/2016, 64.24 ,6, 10.71 ,
7-24 LINNET CLOSE,08638021,REPORTED BY ESTATE OFFICER. LIGHTBULB GONE. LIGHT OUTSIDE AT ENTRANCE TO BLOCK. HIGH-UP,11/10/2016, 19.70 ,16, 1.23 ,
7-24 LINNET CLOSE,08662990,"TALL STEPS REQUIRED, 1HR - PLEASE REPLACE MINI LED FLOOD TO STAIR CASE - REF R.U.",18/10/2016, 99.22 ,16, 6.20 ,
7-24 LINNET CLOSE,08804358,SCHEDULED SURVEY WORKS COMPLETED,23/12/2016, 135.00 ,16, 8.44 ,
7-24 LINNET CLOSE,09001352,EASE AND ADJUST DOOR FIT MORTICE LOCK AND PULL HANDLE TO THE ELECTRICAL INTAKE CUPBOARD BEWARE 400V SUPPLY INSIDE,24/03/2017, 56.49 ,16, 3.53 ,
4-9 LONG CLOSE,08308463,PLUMBER TO INVESTIGATE PIPEWORK IN LOFT - POSSIBLE SMALL LEAK (CONSTANT HUMMING NOISE) - REF BS,15/04/2016, 26.87 ,6, 4.48 ,
4-9 LONG CLOSE,08522241,PLEASE CHECK BAY WINDOW ROOF - ,11/08/2016, 26.48 ,6, 4.41 ,
4-9 LONG CLOSE,08523871,PLEASE REFIX BACK COMMUNAL DOOR ENTRANCE CLOSER - ,12/08/2016, 55.15 ,6, 9.19 ,
4-9 LONG CLOSE,08815910,PLEASE INSPECT/REPAIR THE FRAME AT THE BOTTOM OF THE COMMUNAL BIN SHED AREA. ,30/12/2016, 25.59 ,6, 4.27 ,
4-9 LONG CLOSE,08833574,REPLACE FLB TO COMMUNAL BIN SHED AREA,09/01/2017, 476.61 ,6, 79.44 ,
4-9 LONG CLOSE,08907527,PLEASE ATTEND TO DRAINS AT BLOCK. ,10/02/2017, 33.98 ,6, 5.66 ,
4-9 LONG CLOSE,09001901,PLEASE ATTEND TO FIX BROKEN LOCK ON DOOR TO COMMUNAL BIN STORE.,24/03/2017, 62.26 ,6, 10.38 ,
69-79 ODD MASONS ROAD,08784999,S/F SITE SPECIFIC SIGNS TO CONFIRM WITH FIRE REGULATIONS,13/12/2016, 73.99 ,6, 12.33 ,
93-103 ODD MASONS ROAD,08785561,S/F SITE SPECIFIC SIGNAGE TO COMPLY WITH CURRENT FIRE REGULATIONS ,13/12/2016, 72.65 ,6, 12.11 ,
37-47 ODD NORMANDY CRESCENT,08289973,DRAIN TO BLOCK IS BLOCKED AND SMELLS,05/04/2016, 15.44 ,6, 2.57 ,
37-47 ODD NORMANDY CRESCENT,08290704,JETTER TO ATTEND TO JET THE DRAINS. IT IS REPORTED THAT THE DRAIN IS BLOCKED AND SMELLS - ALL FOUR BLOCKS ARE EFFECTED,06/04/2016, 92.50 ,6, 15.42 ,
37-47 ODD NORMANDY CRESCENT,08576822,CARRY OUT EMERGENCY LIGHTING TO BLOCK AS PER QUOTE ,12/09/2016," 1,500.00 ",6, 250.00 ,
75-85 ODD NORMANDY CRESCENT,08576848,CARRY OUT EMERGENCY LIGHTING TO BLOCK AS PER QUOTE ,12/09/2016," 1,500.00 ",6, 250.00 ,
75-85 ODD NORMANDY CRESCENT,08596310,DRAIN IN PORCH AREA APPEARS BLOCKED. WHEN IT RAINS WATER GATHERS AND RUNS THROUGH UNDER DOOR TO COMMUNAL HALLWAY.  HAS BEEN ATTENDED TO PREVIOUSLY.  REPORTED BY  ESTATE OFFICER ,19/09/2016, 54.27 ,6, 9.05 ,
25-35 ODD NORMANDY CRESCENT,08287221,REPAIR COMMUNCAL TV AERIAL. NO SIGNAL AT FLAT 35.,04/04/2016, 136.15 ,6, 22.69 ,
25-35 ODD NORMANDY CRESCENT,08519713,PLEASE INSPECT GATES LEADING TO COMMUNAL GARDEN AND BIN STORE - PLEASE REPORT BACK REPAIRS REQUIRED - REF E.S.,09/08/2016, 6.61 ,6, 1.10 ,
25-35 ODD NORMANDY CRESCENT,08576806,CARRY OUT EMERGENCY LIGHTING TO BLOCK AS PER QUOTE - ,12/09/2016," 1,463.61 ",6, 243.94 ,
25-35 ODD NORMANDY CRESCENT,08635471, REPLACE TIMBERLINK SIDE GATE - DARK BROWN,10/10/2016, 919.99 ,6, 153.33 ,
21-37 ODD NUFFIELD ROAD,08351258,REMEDIAL WORK FOLLOWING PIR,06/05/2016, 530.21 ,9, 58.91 ,
21-37 ODD NUFFIELD ROAD,08366313,NEW LIGHTS IN STAIRWELL ARE ON ALL THE TIME,16/05/2016, 35.26 ,9, 3.92 ,
21-37 ODD NUFFIELD ROAD,08581370,CARRY OUT EMERGENCY LIGHTING TO BLOCK ,14/09/2016," 2,250.00 ",9, 250.00 ,
39-49 ODD NUFFIELD ROAD,08563505, WOODEN BOARDING AROUND THE ROOF OF THE BLOCK AND AROUND THE BIN SHED IS FALLING DOWN AN COULD FALL ON TNTS - NEEDS MAKING SAFE - HAVE REFERED WAS ADVISED TO RAISE ON EMERGENCY AS COULD HARM SOMEONE,05/09/2016, 90.82 ,6, 15.14 ,
39-49 ODD NUFFIELD ROAD,08581408,CARRY OUT EMERGENCY LIGHTING TO BLOCK ,14/09/2016," 1,500.00 ",6, 250.00 ,
51-73 ODD NUFFIELD ROAD,08310530,"PINE TREE REMOVAL AND LIFT, 2 X 4 HRS",18/04/2016, 232.00 ,12, 19.33 ,
51-73 ODD NUFFIELD ROAD,08395766,PB00025 - ELECTRICAL REMEDIAL WORK FOLLOWING PIR,31/05/2016," 1,087.24 ",12, 90.60 ,
51-73 ODD NUFFIELD ROAD,08503437,REPLACE LOCK TO BIN STORE GATE AND 12 KEYS. KEYS TO D2D TEAM. ,01/08/2016, 63.54 ,12, 5.30 ,
51-73 ODD NUFFIELD ROAD,08557667,PLEASE ATTEND FLAT 63 NUFFIELD CANNOT OPEN KITCHEN WINDOW,01/09/2016, 124.11 ,12, 10.34 ,
51-73 ODD NUFFIELD ROAD,08863346, BELIEVES DRAINS ARE BLOCKED AGAIN. STRONG SMELL OF SEWAGE IN COMMUNAL AREAS,23/01/2017, 11.91 ,12, 0.99 ,
51-73 ODD NUFFIELD ROAD,08865874,CALL OUT - 23.01.2017 - ATTEND TO CLEAR BLOCKED DRAIN AT THE BACK OF THE BLOCK.,23/01/2017, 125.00 ,12, 10.42 ,
23-28 THE OVAL,08870504,"REPORTED BY THE EO, OUTSIDE LIGHT BULB NEEDS CHANGING",25/01/2017, 23.86 ,3, 7.95 ,
23-28 THE OVAL,08883876,NTCO C/O NH - GATE FOR DOOR ENTRY NOT WORKING - REF P.F.,27/01/2017, 120.60 ,3, 40.20 ,
23-28 THE OVAL,08987208,CLEAN & REPAINT BIN STORE AREA BY SHOPS ALLEY - SAMS 5944,17/03/2017, 222.00 ,3, 74.00 ,
23-28 THE OVAL,08987802,CARRY OUT REFURIBHSMENT WORKS TO SHOPS AS PER QUOTE ,17/03/2017, 750.00 ,3, 250.00 ,
41-44 THE OVAL,08956497,07403455691-,02/03/2017, 15.55 ,4, 3.89 ,
41-44 THE OVAL,09010923,REMOVE GRAFFIT FROM SIDE WALL IN ALLEY ALONGSIDE OLD COMMUNITY CENTRE - SAMS 5964,30/03/2017, 73.75 ,4, 18.44 ,
7-17 ODD OVERMEAD GREEN,08571520,CARRY OUT EMERGENCY LIGHTING TO BLOCK AS PER QUOTE ,09/09/2016," 1,500.00 ",6, 250.00 ,
"53 OXFORD ROAD, LITTLEMORE",08779610,S/F SITE SPECIFIC SIGNAGE TO COMPLY WITH CURRENT FIRE REGULATIONS ,09/12/2016, 163.10 ,6, 27.18 ,
"53 OXFORD ROAD, LITTLEMORE",08964892,#53 ENTRANCE STAIR WALL & BIN STORE GRAFFITI REMOVAL - SAMS 5916,07/03/2017, 25.75 ,6, 4.29 ,
"57 OXFORD ROAD, LITTLEMORE",08607786,NTCO C/O - DM/KH - HANDLE ISSUES ON COMMUNAL ME DOOR - REF DQ,24/09/2016, 207.27 ,6, 34.55 ,
"57 OXFORD ROAD, LITTLEMORE",08607801,ATTEND TO MAIN ENTRY DOOR LOCK - REMOVED BY NTCO - REF DQ,26/09/2016, 152.88 ,6, 25.48 ,
"57 OXFORD ROAD, LITTLEMORE",08779298,S/F SITE SPECIFIC SIGNAGE TO COMPLY WITH CURRENT FIRE REGULATIONS ,09/12/2016, 114.62 ,6, 19.10 ,
"59 OXFORD ROAD, LITTLEMORE",08426787, GUTTERING ABOVE FLAT 2 59 OXFORD ROADS KITCHEN IS LEAKING HEAVILY DUE TO BEING BLOCKED AND OVERFLOWING. ,20/06/2016, 296.98 ,6, 49.50 ,
"59 OXFORD ROAD, LITTLEMORE",08582421,LOCK ON COMMUNAL BIN STORE - THE BRICK COMMUNAL BIN SHED NOT WOODEN - HAS BEEN DAMAGED AND NO ONE CAN USE THE LOCK - ,15/09/2016, 18.54 ,6, 3.09 ,
"59 OXFORD ROAD, LITTLEMORE",08587471,SIDE GATE IN THIS BLOCK HAD A KOCK AND CHAIN ON IT BUT THE WORK MEN THAT WERE THERE ON FRIDAY OPENED IT SINCE THEN THE CHAIN AND LOCK HAS DISAPEARD  ,19/09/2016, 24.27 ,6, 4.05 ,
"59 OXFORD ROAD, LITTLEMORE",08602554,REPLACE SIDE PANEL AND POST TO GATES - REF JC,22/09/2016, 28.23 ,6, 4.71 ,
"59 OXFORD ROAD, LITTLEMORE",08779269,S/F SITE SPECIFIC SIGNAGE TO CONFORM TO CURRENT FIRE REGULATIONS ,09/12/2016, 112.45 ,6, 18.74 ,
"59 OXFORD ROAD, LITTLEMORE",08831059,NO 57-59 BIN STORE - THE NEW ONE WITH NO ROOF - DOOR BADLY WARPED WITH THE RAIN - TNTS UNABLE TO GET IT OPEN,09/01/2017, 93.54 ,6, 15.59 ,
"59 OXFORD ROAD, LITTLEMORE",08964959,REMOVE CHALK GRAFFITI FROM BIN STORE - SAMS 5917,07/03/2017, 37.00 ,6, 6.17 ,
10-13 PARADISE SQUARE,08316855,ELECTRICAL INSPECTION TUESDAY 26TH APRIL TO COMMUNAL AREA,20/04/2016, 130.00 ,4, 32.50 ,
10-13 PARADISE SQUARE,08330086,PLEASE ATTEND COMMUNAL STAIRS. 4 MISSING STEPS. TRIP HAZARD.,28/04/2016, 23.39 ,4, 5.85 ,
10-13 PARADISE SQUARE,08365837,"FAO MULTI-FLOORS - REPLACE ALUMINIUM STAIR NOSINGS, SEVERAL BROKEN THERMAL PLASTIC TILES. POSSIBLE ASBESTOS. ",13/05/2016," 1,000.00 ",4, 250.00 ,
10-13 PARADISE SQUARE,08451004,PB00025 - REMEDIAL WORK TO BE CARRIED OUT - IPN4/0006713,30/06/2016, 572.58 ,4, 143.15 ,
10-13 PARADISE SQUARE,08667995,"SECURITY LIGHT OUTSIDE THE BLOCK COMES ON AND OFF ALL THE TIME, ITS NOT SAFE AT NIGHT",19/10/2016, 24.87 ,4, 6.22 ,
14-17 PARADISE SQUARE,08330127, PLEASE ATTEND COMMUNAL STAIRS. 1 STEP MISSING. TRIP HAZARD.,28/04/2016, 22.95 ,4, 5.74 ,
14-17 PARADISE SQUARE,08448084,ELECTRICAL INSPECTION TO COMMUNALS AREA,29/06/2016, 130.00 ,4, 32.50 ,
14-17 PARADISE SQUARE,08451075,PB00025 - REMEDIAL WORK TO BE CARRIED OUT - IPN4/0012848,30/06/2016, 249.72 ,4, 62.43 ,
14-17 PARADISE SQUARE,08602330,INSPECT ALL COMMUNALSTAIRS TO BLOCK STAIR CAPS REPORTED LOOSE AND UNSAFE BY  ESTATES OFFICER,22/09/2016, 53.83 ,4, 13.46 ,
14-17 PARADISE SQUARE,08670717,PLEASE ATTEND TO ELECTIRICAL BOX IN COMMUNAL AREA OUTSIDE NUMBER 16. COME OFF WALL. REPORTED BY  EO,21/10/2016, 28.00 ,4, 7.00 ,
6-9 PARADISE SQUARE,08331207,PLEASE REPLACE DOOR TO ELECTRIC CUPBOARD AT TOP OF STAIRS AND REPLACE THE STRIP WHICH IS MISSING FROM ONE OF THE STAIRS AND HAS BEEN REPLACED BY TAPE.,28/04/2016, 145.21 ,4, 36.30 ,
6-9 PARADISE SQUARE,08602301,INSPECT ALL COMMUNALSTAIRS TO BLOCK STAIR CAPS REPORTED LOOSE AND UNSAFE BY  ESTATES OFFICER ,22/09/2016, 22.07 ,4, 5.52 ,
6-9 PARADISE SQUARE,08624330,ELECTRICAL INSPECTION TO COMMUNAL AREA 6-9,04/10/2016, 130.00 ,4, 32.50 ,
6-9 PARADISE SQUARE,08793333,ELECTRICAL RMEDIAL WORKS TO BE CARRIED OUT,19/12/2016, 538.67 ,4, 134.67 ,
38-48 EVEN PAULING ROAD,08695510,OVERHAUL FRONT AND REAR GUTTERING REPORTED BLOCKED AND LEAKING ALSO CHIMNEY REPORTED LEAKING AND CAUSING DAMAGE TO FLAT ,03/11/2016, 73.69 ,6, 12.28 ,
